Player Name,Team Name,Goals,,,,,,,
M. Radi,Eagles,26,,,,,,,
M. Zarba,Brothers,15,,,,,,,
T. Alikhan,Liverpool,10,,,,,,,
Mazen Elzamel,Joga Bonito,10,,,,,,,
A. Magdy,Tolba,10,,,,,Name,Team Name,Red Cards
Abdullah Ragab,Black Horse,9,,,,,M. Shaabo,Brothers,2
Y. Lela,A.S. Roma,8,,,,,M. Aladoofi,Black Horse,1
M. Salah,Dream,8,,,,,K. Ali,Ricks,1
U. Said,Liverpool,7,,,,,,,
Faisal Al-Hamdan,Team 16,7,,,,,,,
Ahmed Aljarrah,Syrian Eagles,7,,,,,,,
Boody Metwaly,Joga Bonito,6,,,,,,,
Qeyes Shire,North Africa,6,,,,,,,
S. Alnablsi,Eagles,6,,,,,,,
A. Abubasheer,Regala,5,,,,,,,
A. Abdelhalim,Dream,5,,,,,,,
Mahmoud Ally,North Africa,5,,,,,,,
Mohammad Abu-Qube,Babylon,5,,,,,,,
Mohammad Ghallab,Black Horse,5,,,,,,,
Mustafa Aljanabi,Babylon,5,,,,,,,
Gulled Omar,Joga Bonito,5,,,,,,,
Mahmoud Kandakji,ISNA SC,5,,,,,,,
Aness Saada,North Africa,4,,,,,,,
M. Abdhalim,Dream,4,,,,,,,
M. Shaabo,Brothers,4,,,,,,,
Faisal Abuqube,Babylon,4,,,,,,,
Hashem Abdi,ISNA SC,4,,,,,,,
S. Elsherif,Tolba,4,,,,,,,
J. Khazrajy,Brothers,4,,,,,,,
M. Hamdy,Regala,4,,,,,,,
Emad A.,Eagles,4,,,,,,,
M. Elazabawy,A.S. Roma,4,,,,,,,
Mukhtar Ali,Saga,3,,,,,,,
Faris,Saga,3,,,,,,,
E. Stuart,Tolba,3,,,,,,,
Usayd Al-Janabi,ISNA SC,3,,,,,,,
B. Mahmoud,Eagles,3,,,,,,,
O. Rifai,Liverpool,3,,,,,,,
M. Alomari,Eagles,3,,,,,,,
A. Alsabagh,Eagles,3,,,,,,,
Thomas,Regala,3,,,,,,,
mohammed Mosaab,Brothers,3,,,,,,,
E. Baig,Ricks,3,,,,,,,
Mouhamed Kernane,North Africa,3,,,,,,,
Tarek Hakim,Syrian Eagles,3,,,,,,,
E. Samaan,Brothers,3,,,,,,,
A. Hamoud,Ricks,3,,,,,,,
W. Alrawi,Brothers,3,,,,,,,
M. Metwally,Dream,3,,,,,,,
O. Abbas,Regala,3,,,,,,,
