MAA Soccer League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Table,,,,,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,rank
,,,Team name,Bonus/penalty points,,,,,,,,,,,,,,,,,A.S. Roma,6,2,2,2,12,12,0,8,8000000012
,,,A.S. Roma,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,,,Liverpool,6,1,1,4,9,24,-15,4,3999850009
,,,Liverpool,,,,,,,Brothers FC,6,6,0,0,25,6,19,18,,,Tolba FC,6,3,3,0,14,2,12,12,12000120014
,,,Tolba FC,,,,,,,Black Horse FC,6,6,0,0,14,1,13,18,,,Eagles FC,6,3,2,1,15,9,6,11,11000060015
,,,Eagles FC,,,,,,,Tolba FC,6,3,3,0,14,2,12,12,,,Ricks FC,6,1,1,4,7,17,-10,4,3999900007
,,,Ricks FC,,,,,,,North Africa FC,6,4,0,2,15,8,7,12,,,Regala FC,6,3,0,3,11,10,1,9,9000010011
,,,Regala FC,,,,,,,Eagles FC,6,3,2,1,15,9,6,11,,,Dream FC,6,1,3,2,10,7,3,6,6000030010
,,,Dream FC,,,,,,,Regala FC,6,3,0,3,11,10,1,9,,,Brothers FC,6,6,0,0,25,6,19,18,18000190025
,,,Brothers FC,,,,,,,Babylon FC,6,3,0,3,12,13,-1,9,,,Black Horse FC,6,6,0,0,14,1,13,18,18000130014
,,,Black Horse FC,,,,,,,A.S. Roma,6,2,2,2,12,12,0,8,,,Joga Bonito FC,6,2,0,4,17,15,2,6,6000020017
,,,Joga Bonito FC,,,,,,,Saga FC,6,2,1,3,17,22,-5,7,,,Babylon FC,6,3,0,3,12,13,-1,9,8999990012
,,,Babylon FC,,,,,,,Dream FC,6,1,3,2,10,7,3,6,,,ISNA SC,6,1,2,3,10,18,-8,5,4999920010
,,,ISNA SC,,,,,,,Joga Bonito FC,6,2,0,4,17,15,2,6,,,North Africa FC,6,4,0,2,15,8,7,12,12000070015
,,,North Africa FC,,,,,,,Syrian Eagles,6,2,0,4,8,14,-6,6,,,Syrian Eagles,6,2,0,4,8,14,-6,6,5999940008
,,,Syrian Eagles,,, ,,,,ISNA SC,6,1,2,3,10,18,-8,5,,,Saga FC,6,2,1,3,17,22,-5,7,6999950017
