MAA Soccer League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Table,,,,,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,rank
,,,Team name,Bonus/penalty points,,,,,,,,,,,,,,,,,A.S. Roma,10,3,5,2,17,16,1,14,14000010017
,,,A.S. Roma,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,,,Liverpool,10,3,2,5,24,31,-7,11,10999930024
,,,Liverpool,,,,,,,Brothers,10,9,1,0,36,13,23,28,,,Tolba FC,10,7,3,0,26,3,23,24,24000230026
,,,Tolba FC,,,,,,,Black Horse,10,8,1,1,24,4,20,25,,,Eagles FC,10,5,2,3,35,18,17,17,17000170035
,,,Eagles FC,,,,,,,Tolba FC,10,7,3,0,26,3,23,24,,,Ricks FC,10,1,1,8,9,28,-19,4,3999810009
,,,Ricks FC,,,,,,,Eagles FC,10,5,2,3,35,18,17,17,,,Regala,10,5,0,5,18,24,-6,15,14999940018
,,,Regala,,,,,,,Dream,10,4,4,2,23,9,14,16,,,Dream,10,4,4,2,23,9,14,16,16000140023
,,,Dream,,,,,,,North Africa,10,5,1,4,21,18,3,16,,,Brothers,10,9,1,0,36,13,23,28,28000230036
,,,Brothers,,,,,,,Regala,10,5,0,5,18,24,-6,15,,,Black Horse,10,8,1,1,24,4,20,25,25000200024
,,,Black Horse,,,,,,,A.S. Roma,10,3,5,2,17,16,1,14,,,Joga Bonito,10,4,0,6,26,24,2,12,12000020026
,,,Joga Bonito,,,,,,,Babylon,10,4,1,5,22,24,-2,13,,,Babylon,10,4,1,5,22,24,-2,13,12999980022
,,,Babylon,,,,,,,Joga Bonito,10,4,0,6,26,24,2,12,,,ISNA SC,10,2,2,6,17,30,-13,8,7999870017
,,,ISNA SC,,,,,,,Syrian Eagles FC,10,3,2,5,15,21,-6,11,,,North Africa,10,5,1,4,21,18,3,16,16000030021
,,,North Africa,,,,,,,Liverpool,10,3,2,5,24,31,-7,11,,,Syrian Eagles FC,10,3,2,5,15,21,-6,11,10999940015
,,,Syrian Eagles FC,,, ,,,,ISNA SC,10,2,2,6,17,30,-13,8,,,Saga,10,2,2,6,21,48,-27,8,7999730021
,,,Saga,,,,,,,Saga,10,2,2,6,21,48,-27,8,,,Team 16,10,1,1,8,13,36,-23,4,3999770013
,,,Team 16,,,,,,,Ricks FC,10,1,1,8,9,28,-19,4,,,,,,,,,,,,
Need to switch brothers vs Tolba FC and syrian Eagles FC vs liverpool in week 6,,,,,,,,,,Team 16,10,1,1,8,13,36,-23,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,1,A.S. Roma,Ricks FC,2,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,2,Liverpool,Regala,0,:,2,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,3,Tolba FC,Dream,0,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,4,Eagles FC,Babylon,2,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,11:35 PM,1,A.S. Roma,Dream,3,:,2,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,11:35 PM,2,Liverpool,Babylon,1,:,6,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,11:35 PM,3,Tolba FC,Ricks FC,6,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,11:35 PM,4,Eagles FC,Regala,1,:,4,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,12:20 AM,1,Brothers,North Africa,3,:,1,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,12:20 AM,2,Black Horse,Saga,1,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,12:20 AM,3,Joga Bonito,Syrian Eagles FC,2,:,1,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,12:20 AM,4,ISNA SC,Team 16,1,:,1,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:05 AM,1,Brothers,Syrian Eagles FC,4,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:05 AM,2,Black Horse,Team 16,4,:,1,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:05 AM,3,Joga Bonito,North Africa,0,:,3,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:05 AM,4,ISNA SC,Saga,3,:,3,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,10:45 PM,1,Babylon,Joga Bonito,3,:,1,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,10:45 PM,2,Black Horse,ISNA SC,3,:,0,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,10:45 PM,3,North Africa,Syrian Eagles FC,4,:,1,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,10:45 PM,4,Saga,Team 16,7,:,4,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,11:35 PM,1,Babylon,Black Horse,0,:,3,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,11:35 PM,2,Joga Bonito,ISNA SC,3,:,4,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,11:35 PM,3,North Africa,Saga,1,:,4,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,11:35 PM,4,Syrian Eagles FC,Team 16,4,:,2,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,12:20 AM,1,A.S. Roma,Tolba FC,0,:,0,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,12:20 AM,2,Liverpool,Eagles FC,1,:,5,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,12:20 AM,3,Ricks FC,Dream,1,:,1,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,12:20 AM,4,Regala,Brothers,1,:,3,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,1:05 AM,1,A.S. Roma,Liverpool,4,:,4,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,1:05 AM,2,Tolba FC,Eagles FC,2,:,2,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,1:05 AM,3,Ricks FC,Regala,3,:,1,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,1:05 AM,4,Dream,Brothers,1,:,2,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,1,A.S. Roma,Regala,2,:,3,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,2,Liverpool,Ricks FC,3,:,2,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,3,Tolba FC,Babylon,5,:,0,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,4,Eagles FC,Dream,1,:,1,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,1,A.S. Roma,Babylon,1,:,3,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,2,Liverpool,Dream,0,:,5,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,3,Tolba FC,Regala,1,:,0,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,4,Eagles FC,Ricks FC,4,:,1,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,12:20 AM,1,Brothers,ISNA SC,4,:,2,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,12:20 AM,2,Black Horse,Joga Bonito,2,:,0,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,12:20 AM,3,Saga,Syrian Eagles FC,1,:,2,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,12:20 AM,4,North Africa,Team 16,2,:,0,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,1:05 AM,1,Brothers,Team 16,9,:,1,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,1:05 AM,2,Black Horse,Syrian Eagles FC,1,:,0,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,1:05 AM,3,Joga Bonito,Saga,11,:,2,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,1:05 AM,4,ISNA SC,North Africa,0,:,4,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,10:45 PM,1,Brothers,Ricks FC,3,:,1,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,10:45 PM,2,Black Horse,Regala,5,:,0,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,10:45 PM,3,Joga Bonito,Dream,0,:,4,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,10:45 PM,4,ISNA SC,Babylon,2,:,4,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,11:35 PM,1,Black Horse,Ricks FC,4,:,1,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,11:35 PM,2,Joga Bonito,Regala,5,:,1,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,11:35 PM,3,ISNA SC,Dream,1,:,6,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,11:35 PM,4,Brothers,Babylon,2,:,2,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,12:20 AM,1,A.S. Roma,North Africa,1,:,1,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,12:20 AM,2,Liverpool,Saga,7,:,0,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,12:20 AM,3,Tolba FC,Syrian Eagles FC,1,:,0,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,12:20 AM,4,Eagles FC,Team 16,0,:,1,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,1:05 AM,1,Liverpool,North Africa,0,:,2,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,1:05 AM,2,Tolba FC,Saga,6,:,0,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,1:05 AM,3,Eagles FC,Syrian Eagles FC,2,:,3,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,1:05 AM,4,A.S. Roma,Team 16,2,:,1,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,10:45 PM,1,Tolba FC,North Africa,2,:,0,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,10:45 PM,2,Eagles FC,Saga,11,:,2,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,10:45 PM,3,A.S. Roma,Syrian Eagles FC,0,:,0,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,10:45 PM,4,Liverpool,Team 16,4,:,1,,,,,,,,,,,,,,,,,,,,,,,
